# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.1191386398602865,2.683523655474694,3.7673587145458907,38.056119374734045,3.3574159195808577,2.99999999999996,0.1927128687606943,0.0,37.15945038887864,0.0
 1.1246762519176396,2.6981580475333353,3.778900465758848,38.261893995252116,3.3740287557529176,3.0000000000000804,0.19277241715636792,0.0,37.35503414084995,0.0
 1.130187495687858,2.7127529025955086,3.790496337852645,38.467766694447164,3.390562487063572,2.9999999999999596,0.19287839206198248,0.0,37.55890898920855,0.0
 1.135672442931086,2.727307162785773,3.802145565717177,38.67377532876618,3.4070173287932564,2.9999999999999596,0.19303080623449168,0.0,37.771210743973484,0.0
 1.1411311623825957,2.7418197702286866,3.8138473842423384,38.87995777156138,3.423393487147785,2.999999999999959,0.19322970598448921,0.0,37.99208050915978,0.0
 1.1465637198677439,2.756289667048808,3.8256010283180246,39.08635193290776,3.4396911596032296,3.0,0.19347517100437345,0.0,38.22166484289055,0.0
 1.1519701784127323,2.7707157953706956,3.837405732834131,39.292995779401295,3.455910535238195,3.0,0.19376731455411708,0.0,38.460115924109914,0.0
 1.1573505983513885,2.785097097318908,3.8492607326805524,39.499927353962406,3.4720517950541634,2.9999999999999587,0.19410628331693291,0.0,38.56994305697569,0.0
 1.1627241463859133,2.7994325150180033,3.8611652627471837,39.70718479566795,3.4633639544995956,-1.616779174346072,0.19449225763382266,0.0,38.50919146972261,0.0
 1.1681156271210091,2.8137209905925404,3.87311855792392,39.91480635960108,3.4471895122943077,-3.0000000000000413,0.19492545167312186,0.0,38.41499181645548,0.0
 1.173530806647148,2.827961466167077,3.885119853100656,40.12283043678234,3.430943973715891,-3.000000000000041,0.1954061134695779,0.0,38.32849600007623,0.0
 1.1789697139644957,2.8421528838661723,3.8971683831672874,40.331295574140086,3.414627251763848,-3.0,0.19593452529585184,0.0,38.24962009852335,0.0
 1.1844323805194423,2.8562941858143844,3.9092633830137085,40.5402404945917,3.3982392520990077,-3.000000000000041,0.19651100379276895,0.0,38.17828454895675,0.0
 1.1899188402991356,2.870384314136272,3.921404087529815,40.74970411722724,3.3817798727599278,-3.0,0.1971359004304419,0.0,38.11441402207151,0.0
 1.195429129929893,2.8844222109563935,3.9335897316055015,40.95972557759546,3.3652490038676564,-2.9999999999999196,0.1978096016626488,0.0,38.057937306104215,0.0
 1.2009632887797002,2.898406818399307,3.945819550130663,41.17034424814344,3.348646527318235,-2.99999999999996,0.19853252947653877,0.0,38.00878719103456,0.0
 1.206521359065014,2.9123370785895712,3.958092777995195,41.38159975881074,3.3319723164622936,-3.0,0.19930514170135366,0.0,37.96690035209377,0.0
 1.2121033859620924,2.926211933651745,3.970408650088992,41.593532017774834,3.3152262357710582,-2.99999999999996,0.2001279325141109,0.0,37.93221724522484,0.0
 1.2177094177231016,2.940030325710386,3.9827664013019493,41.80618123241705,3.2984081404880303,-3.000000000000079,0.20100143294457729,0.0,37.90468199004208,0.0
 1.223339505797249,2.953791196890053,3.995165266523962,42.01958793044354,3.281517876265588,-3.0000000000000395,0.20192621146637413,0.0,37.884242271996285,0.0
 1.2289937049572144,2.967493489315305,4.0076044806449245,42.233792981273794,3.2645552787856915,-3.000000000000039,0.20290287450016845,0.0,37.87084923369713,0.0
 1.2346720734311674,2.9811361451106997,4.020083278554733,42.44883761764424,3.2475201733638324,-3.000000000000039,0.20393206708925057,0.0,37.86445736857916,0.0
 1.2403746730406688,2.994718106400795,4.032600895143281,42.66476345744829,3.230412374535328,-3.0,0.2050144736590414,0.0,37.86502442369552,0.0
 1.2461015693447832,3.008238315310151,4.045156565300465,42.881612525875546,3.2132316856229846,-3.0000000000000386,0.20615081860175694,0.0,37.872511295243285,0.0
 1.2518528317907345,3.021695713963325,4.057749523916179,43.099427277821746,3.1959778982851303,-3.0000000000000773,0.2073418671175438,0.0,37.88688192665039,0.0
 1.2576285338714719,3.035089244484876,4.070379005880319,43.31825062059815,3.1786507920429186,-2.999999999999923,0.20858842603032687,0.0,37.90810320761034,0.0
 1.2634287532905244,3.048417848999362,4.083044246082779,43.53812593696239,3.161250133785761,-3.0,0.2098913446429491,0.0,37.936144874209994,0.0
 1.2692535721345524,3.0616804696313418,4.0957444794134545,43.75909710849546,3.143775677253677,-3.000000000000038,0.21125151563107433,0.0,37.970979402890805,0.0
 1.275103077054024,3.0748760485053737,4.108478940762241,43.98120853930982,3.1262271624952622,-3.0,0.2126698760177893,0.0,38.01258190843257,0.0
 1.2809773594524763,3.0880035277460163,4.121246865019033,44.20450518013425,3.1086043152999054,-2.9999999999999623,0.21414740818523567,0.0,38.06093004265326,0.0
 1.2868765156848507,3.1010618494778273,4.134047487073724,44.42903255280534,3.090906846602782,-3.0,0.21568514083843732,0.0,38.116003879662124,0.0
 1.292800647265417,3.114049955825366,4.146880041816212,44.65483677511383,3.0731344518610832,-3.0,0.21728415025903258,0.0,38.17778581363416,0.0
 1.2987498610858386,3.126966788913191,4.159743764136391,44.881964586109405,3.0552868103998185,-3.0,0.21894556136091506,0.0,38.24626044326216,0.0
 1.304724269643969,3.1398112908658597,4.172637888924155,45.1104633718181,3.0373635847254277,-2.9999999999999627,0.22067054890722074,0.0,38.32141445844044,0.0
 1.3107239912840059,3.1525824038079318,4.185561651069401,45.34038119142124,3.019364419805317,-2.999999999999963,0.22246033878164193,0.0,38.40323651555883,0.0
 1.3167491504486644,3.165279069863965,4.1985142854620205,45.5717668038655,3.0012889423113416,-3.0,0.2243162093334561,0.0,38.49171712581483,0.0
 1.3227998779440955,3.177900231158518,4.211495026991912,45.80466969502503,2.983136759825048,-3.0000000000000733,0.2262394926912993,0.0,38.586848510811826,0.0
 1.3288763112182955,3.190444829816149,4.224503110548969,46.03914010526264,2.9649074600024474,-3.0000000000000364,0.22823157614976983,0.0,38.68862448215788,0.0
 1.334978594653832,3.2029118079614163,4.237537771023088,46.2752290575838,2.946600609695838,-3.0000000000000364,0.230293903812447,0.0,38.79704029324901,0.0
 1.3411068798757495,3.2153001077188788,4.250598243304161,46.51298838626706,2.9282157540300853,-3.0,0.23242797797251108,0.0,38.9120924976788,0.0
